CUSTOMER_PLACE_ORDER_DATETIME,PLACED_ORDER_WITH_RESTAURANT_DATETIME,DRIVER_AT_RESTAURANT_DATETIME,DELIVERED_TO_CUSTOMER_DATETIME,DRIVER_ID,RESTAURANT_ID,CUSTOMER_ID,DELIVERY_REGION,IS_ASAP,ORDER_TOTAL,DISCOUNT_AMOUNT,TIP_AMOUNT,REFUNDED_AMOUNT
9/14/2024 20:49:28,9/14/2024 20:49:29,9/14/2024 20:57:07,9/14/2024 21:04:14,36193855,11000,1071502167,San Francisco,TRUE,$21.19,$0.00,$1.50,$0.00
9/15/2024 0:23:35,9/15/2024 0:23:35,9/15/2024 0:31:17,9/15/2024 0:53:48,29614391,11000,594685176,San Francisco,TRUE,$23.72,$0.00,$6.50,$0.00
9/14/2024 23:19:15,9/14/2024 23:19:27,9/14/2024 23:28:53,9/14/2024 23:40:31,36120742,11000,381225149,San Francisco,FALSE,$65.05,$0.00,$4.50,$0.00
9/15/2024 2:29:51,9/15/2024 2:29:51,9/15/2024 2:38:01,9/15/2024 3:01:49,36025184,11000,118334096,San Francisco,TRUE,$24.63,$0.00,$1.00,$0.00
9/15/2024 3:21:06,9/15/2024 3:21:06,9/15/2024 3:26:30,9/15/2024 3:44:01,36828872,11000,391489554,San Francisco,TRUE,$48.98,$0.00,$5.50,$0.00
9/14/2024 23:55:56,9/14/2024 23:55:57,9/15/2024 0:02:26,9/15/2024 0:18:24,36219217,11000,593724130,San Francisco,TRUE,$34.65,$0.00,$6.00,$0.00
9/14/2024 20:20:02,9/14/2024 20:20:03,9/14/2024 20:29:26,9/14/2024 20:38:55,36828872,11000,360839290,San Francisco,TRUE,$20.55,$0.00,$1.00,$0.00
9/15/2024 3:03:49,9/15/2024 3:03:50,9/15/2024 3:14:23,9/15/2024 3:21:18,32592529,11000,372209575,San Francisco,TRUE,$25.39,$0.00,$3.00,$0.00
9/15/2024 3:26:49,9/15/2024 3:26:49,9/15/2024 3:36:37,9/15/2024 3:49:53,20498904,11000,76634856,San Francisco,TRUE,$37.03,$0.00,$5.00,$0.00
9/15/2024 4:25:12,9/15/2024 4:25:13,9/15/2024 4:34:57,9/15/2024 4:53:45,32084701,11000,30474493,San Francisco,TRUE,$37.99,$10.00,$10.00,$0.00
